Piloto,Títulos,Construtores,Tot. Títulos,Corridas,Pódios,P1,P2,P3,Top 5,Top 10,Poles,Fast Laps,Abandonos,DQ,Estreia,Ultima,Etapas por DNF/DQ,Etapas Por Pódio,Etapas Por Vitória
Pancho Favoretto,0,0,0,11,0,0,0,0,1,5,0,0,0,1,2011/1,2011/2,11,N/A,N/A
Pedro de Oliveira,0,0,0,11,2,0,2,0,2,5,1,0,3,1,2013/3,2014/1,2.75,5.5,N/A
Flavio Araujo,0,0,0,11,0,0,0,0,0,0,0,0,7,0,2015/1,2015/2,1.57,N/A,N/A
Rubens Serinolli,0,0,0,11,0,0,0,0,1,3,0,0,3,2,2016/2,2017/1,2.2,N/A,N/A
Olivio Boeira,0,0,0,11,0,0,0,0,3,5,0,0,3,1,2016/3,2017/1,2.75,N/A,N/A
Breno Augusto,0,1,1,10,0,0,0,0,1,5,0,0,0,0,2014/1,2014/3,0,N/A,N/A
Cristian Rizzi,0,0,0,10,1,0,1,0,1,4,1,1,6,0,2009/2,2009/2,1.67,10,N/A
Leandro Craveiro,0,0,0,10,2,2,0,0,2,5,0,1,0,1,2009/2,2009/2,10,5,5
Vinicius Drey,0,0,0,10,3,1,0,2,4,8,0,0,2,0,2009/2,2009/2,5,3.33,10
Gabriel Uhlmann,0,0,0,10,0,0,0,0,1,3,0,0,4,0,2011/3,2012/1,2.5,N/A,N/A
Henrique Guimaraes,0,0,0,10,0,0,0,0,0,1,0,0,6,0,2017/3,2018/2,1.67,N/A,N/A
Gelson Machado,0,0,0,10,0,0,0,0,0,0,0,0,6,0,2018/1,2018/2,1.67,N/A,N/A
Gustavo Frigotto,0,0,0,9,0,0,0,0,1,2,0,0,7,0,2011/1,2011/2,1.29,N/A,N/A
Leonardo Tasca,0,0,0,9,3,0,2,1,4,6,0,1,0,0,2018/3,2019/3,0,3,N/A
Patrick Lopes,0,0,0,9,0,0,0,0,0,5,0,0,1,0,2023/1,2023/1,9,N/A,N/A
Jonas Fuhr,0,0,0,8,0,0,0,0,1,5,0,0,1,1,2011/1,2011/1,4,N/A,N/A
Rodrigo Ruggeri,0,0,0,8,0,0,0,0,2,5,0,0,1,0,2014/2,2014/2,8,N/A,N/A
Stenio Vargas,0,0,0,8,0,0,0,0,0,1,0,0,1,0,2020/1,2020/1,8,N/A,N/A
Daniel Furiano,1,1,2,7,3,1,2,0,5,6,0,0,1,0,2012/1,2012/1,7,2.33,7
Gus Scherer,0,1,1,7,0,0,0,0,0,2,0,0,0,0,2008/3,2009/1,0,N/A,N/A
Adriano Fraporti,0,1,1,7,1,1,0,0,2,3,0,0,1,0,2012/1,2012/1,7,7,7
Henrique Galleazzi,0,0,0,7,1,0,0,1,1,4,0,0,2,0,2009/2,2009/2,3.5,7,N/A
Atila Moss,0,0,0,7,1,0,1,0,1,2,0,0,0,1,2009/3,2009/3,7,7,N/A
Anderson Reis,0,0,0,7,0,0,0,0,0,0,0,0,4,1,2009/3,2009/3,1.4,N/A,N/A
Leonardo Jafet,0,0,0,7,0,0,0,0,0,3,2,0,1,0,2012/1,2012/2,7,N/A,N/A
William Sebastian,0,0,0,7,2,0,1,1,4,6,0,0,0,0,2013/2,2014/2,0,3.5,N/A
Luiz Pepe,0,0,0,7,0,0,0,0,1,2,1,0,2,1,2013/3,2013/3,2.33,N/A,N/A
Robson Nadur,0,0,0,7,0,0,0,0,1,2,1,0,4,0,2014/1,2014/1,1.75,N/A,N/A
Igor Cruz,0,0,0,7,1,1,0,0,3,5,2,0,1,0,2014/2,2014/2,7,7,7
